,station,neighbourhood
0,175 N Harvard St,Allston
1,2 Hummingbird Lane at Olmsted Green,Mattapan
2,555 Metropolitan Ave,Hyde Park
3,606 American Legion Hwy at Canterbury St,Roslindale
4,645 Summer St,South Boston Waterfront
5,700 Commonwealth Ave.,Fenway
6,Adams Branch Library,Dorchester
7,Adams St at Lonsdale St,Dorchester
8,Addison St at Saratoga St,East Boston
9,Airport T Stop - Bremen St at Brooks St,East Boston
10,Albany St at E. Brookline St,South End
11,American Legion Hwy at Cummins Hwy,Roslindale
12,American Legion Hwy at Hyde Park Ave,Roslindale
13,Andrew T Stop - Dorchester Ave at Dexter St,South Boston
14,Aquarium T Stop - 200 Atlantic Ave,Downtown
15,Arch St at Franklin St,Downtown
16,Archdale Rd at Washington St,Roslindale
17,Ashmont T Stop,Dorchester
18,B.U. Central - 725 Comm. Ave.,Fenway
19,Back Bay T Stop - Dartmouth St at Stuart St,Back Bay
20,Bartlett St at John Elliot Sq,Roxbury
21,Beacon St at Charles St,Beacon Hill
22,Beacon St at Massachusetts Ave,Fenway
23,Belgrade Ave at Walworth St,Roslindale
24,Bellevue T Stop,Roslindale
25,Bennington St at Byron St,East Boston
26,Bennington St at Constitution Beach,East Boston
27,Blossom St at Charles St,West End
28,Blue Hill Ave at Almont St,Mattapan
29,Blue Hill Ave at Havelock St,Dorchester
30,Blue Hill Ave at Southwood St,Roxbury
31,Boston City Hall - 28 State St,Downtown
32,Boston Convention and Exhibition Center - Summer St at West Side Dr,South Boston Waterfront
33,Boston East - 126 Border St,East Boston
34,Boston Landing,Brighton
35,Boston Medical Center - E Concord St at Harrison Ave,South End
36,Bowdoin St at Quincy St,Dorchester
37,Boylston St at Berkeley St,Back Bay
38,Boylston St at Charles St,Beacon Hill
39,Boylston St at Dartmouth St,Back Bay
40,Boylston St at Exeter St,Back Bay
41,Boylston St at Fairfield St,Back Bay
42,Boylston St at Jersey St,Fenway
43,Boylston St at Massachusetts Ave,Back Bay
44,Brigham Circle - Francis St at Huntington Ave,Longwood
45,Brighton Ave at Linden St,Allston
46,Brighton Center - Washington St at Cambridge St,Brighton
47,Brighton Mills - 370 Western Ave,Brighton
48,Broad St at Central St,Downtown
49,Bunker Hill Community College,Charlestown
50,Burlington Ave at Brookline Ave,Fenway
51,Cambridge St at Joy St,West End
52,Canal St at Causeway St,West End
53,Central Ave at River St,Mattapan
54,Central Square East Boston,East Boston
55,Centre St at Parkway YMCA,West Roxbury
56,Centre St at Seaverns Ave,Jamaica Plain
57,Centre St at W. Roxbury Post Office,West Roxbury
58,Charles Circle - Charles St at Cambridge St,Beacon Hill
59,Charlestown Navy Yard,Charlestown
60,Chinatown Gate Plaza,Chinatown
61,Chinatown T Stop,Downtown
62,Christian Science Plaza - Massachusetts Ave at Westland Ave,Back Bay
63,Circuit Drive at American Legion Hwy,Roxbury
64,Clarendon St at Newbury St,Back Bay
65,Cleary Sq,Hyde Park
66,Cleveland Circle,Brighton
67,Clinton St at North St,Downtown
68,Codman Square Library,Dorchester
69,Colleges of the Fenway - Fenway at Avenue Louis Pasteur,Longwood
70,Columbia Rd at Ceylon St,Dorchester
71,Columbia Rd at Tierney Community Center,South Boston
